,Cycle,Joint,Angle_x,Angle_y,Angle_z,Flex_Ext_Angle,subject,avg_flex
51,52.0,r_ankle,27.139088079069268,-2.237819525093373,-6.961992523980008,62.86093637217357,1,62.02174601594718
52,53.0,r_ankle,26.730357585376524,-2.269672196950672,-6.886478402077995,63.266191326197756,1,62.42386006939468
53,54.0,r_ankle,26.314314650131866,-2.288422184605845,-6.7711823239118925,63.68223426144242,1,62.84195582561872
54,55.0,r_ankle,25.89832863503935,-2.3327675703886723,-6.641094204115049,64.10169581620352,1,63.27086157950724
55,56.0,r_ankle,25.48230276463513,-2.4345174447703197,-6.507385646693,64.52455050973057,1,63.70857507719857
56,57.0,r_ankle,25.056171400202036,-2.587805410003569,-6.366049889920914,64.94385305104085,1,64.15024520385589
57,58.0,r_ankle,24.617964613476083,-2.75530155173581,-6.210500627540388,65.37858429809823,1,64.60427535784696
58,59.0,r_ankle,24.163433503202434,-2.899704655266245,-6.04230264584356,65.83311540837187,1,65.0727530214592
59,60.0,r_ankle,23.69252183227487,-3.009613445653295,-5.8776196379225345,66.307502618968,1,65.5547937172868
60,61.0,r_ankle,23.208627413681025,-3.097291389063134,-5.737370290390651,66.79822586068467,1,66.05022030036011
61,62.0,r_ankle,22.71212683717735,-3.1791787775740206,-5.631138346132664,67.28789761406549,1,66.55018426633174
62,63.0,r_ankle,22.21137708178359,-3.2616428396253925,-5.554955978178128,67.78517182979073,1,67.06023592417776
63,64.0,r_ankle,21.70908865552557,-3.3370240217058376,-5.494098309905538,68.28746025604873,1,67.57794534427066
64,65.0,r_ankle,21.206973865357774,-3.3958314653569905,-5.435878271297526,68.7930505858851,1,68.10193739132342
65,66.0,r_ankle,20.70596142502094,-3.4394307517052796,-5.376780830148329,69.30089184934475,1,68.63338483371513
66,67.0,r_ankle,20.20203016089226,-3.4764506636948673,-5.318586321168919,69.79799429035062,1,69.16612986615397
67,68.0,r_ankle,19.698168892992303,-3.512351088620528,-5.267786183330458,70.29838001858201,1,69.7072163620212
68,69.0,r_ankle,19.19425758477112,-3.5446810477481963,-5.234453127785002,70.80229132680321,1,70.25476855760355
69,70.0,r_ankle,18.691688258206035,-3.5636688883567578,-5.23102821587641,71.30833619303681,1,70.80897129470173
70,71.0,r_ankle,18.19190875276081,-3.553553772301831,-5.262417603103747,71.81494452160486,1,71.36902176526033
71,72.0,r_ankle,17.690453550097182,-3.506341208718422,-5.320225764713439,72.30957090114569,1,71.92952432991298
72,73.0,r_ankle,17.185816319634185,-3.4378708626321273,-5.388734810638813,72.81073259194008,1,72.49674209208307
73,74.0,r_ankle,16.671135881584384,-3.3800499226194067,-5.447812251533345,73.3254130299899,1,73.06837847035833
